County,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,1.66,2.26,2.55,2.36,1.9,1.94,2.07,2.23,1.73,2.04,1.83,1.91,1.88,1.88,1.18,0.58,0.6,0.44,0.56,0.49,0.46,0.45,0.46,0.52,0.34,0.37,0.41,0.47,0.54
Ashland,0.28,0.28,0.31,0.21,0.22,0.16,0.27,0.18,0.21,0.14,0.13,0.23,0.24,0.21,0.27,0.29,0.24,0.26,0.37,0.25,0.19,0.22,0.21,0.38,0.46,0.36,0.38,0.2,0.42
Barron,0.05,0.04,0.12,0.08,0.07,0.06,0.11,0.09,0.1,0.07,0.08,0.07,0.1,0.08,0.06,0.07,0.07,0.06,0.05,0.04,0.05,0.06,0.07,0.06,0.09,0.11,0.07,0.12,0.11
Bayfield,0.29,0.37,0.4,0.33,0.19,0.2,0.22,0.25,0.26,0.26,0.4,0.35,0.26,0.31,0.39,0.7,0.48,0.38,0.47,0.34,0.24,0.27,0.15,0.32,0.32,0.27,0.35,0.24,0.55
Brown,0.16,0.2,0.22,0.23,0.27,0.25,0.28,0.28,0.25,0.25,0.18,0.2,0.21,0.19,0.18,0.18,0.18,0.15,0.16,0.12,0.12,0.18,0.18,0.23,0.24,0.22,0.25,0.24,0.22
Buffalo,1.25,1.47,1.37,1.04,1.01,0.88,0.81,0.58,0.55,0.54,0.36,0.41,0.36,0.29,0.38,0.26,0.29,0.32,0.21,0.24,0.35,0.28,0.23,0.29,0.26,0.12,0.21,0.18,0.30
Burnett,0.67,0.67,0.57,0.76,0.52,0.51,0.58,0.36,0.24,0.28,0.26,0.22,0.25,0.28,0.28,0.3,0.29,0.3,0.4,0.47,0.34,0.38,0.31,0.23,0.2,0.12,0.12,0.1,0.25
Calumet,0.52,0.81,0.74,0.62,0.78,0.91,0.75,0.69,0.55,0.53,0.57,0.59,0.55,0.48,0.49,0.62,0.51,0.49,0.52,0.52,0.46,0.47,0.5,0.55,0.64,0.46,0.58,0.58,0.48
Chippewa,0.51,0.56,0.68,0.56,0.54,0.53,0.65,0.67,0.43,0.51,0.41,0.42,0.29,0.4,0.47,0.46,0.37,0.28,0.33,0.26,0.22,0.37,0.32,0.37,0.38,0.38,0.31,0.31,0.36
Clark,0.93,1.2,1.44,1.2,0.87,1.05,1.08,1.17,0.66,0.8,0.97,1.07,0.88,0.95,0.86,0.24,0.24,0.21,0.25,0.22,0.26,0.3,0.29,0.31,0.28,0.24,0.21,0.19,0.28
