COUNTY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,194.7275,180.894,179.1055,175.492,212.065,214.766,224.6575,227.5775,225.3875,219.949,219.876,233.7825,230.946,237.834,246.01,245.89904,265.35,250.632,247.799,247.9,221.4,225.6,241.29128,254.700285,322.5,297.690715,283.030855,278.0727,234.917285
Ashland,150.891,137.4955,156.512,150.964,158.118,154.249,154.103,169.579,190.1285,194.983,214.839,180.821,231.0924,219,178.12,181.24221,184.464,193.441,174.981,176.5,171.8,174.3,183.851595,201.375245,202,245.801585,250.79953,298.4295,190.480725
Barron,371.424,389.7105,382.739,373.76,435.2625,437.124,479.2085,494.867,521.2565,506.328,531.44,538.0465,517.524,532.973,547.135,549.89002,558.15,578.75,571.116,565.4,507.2,495.5,577.770545,552.980475,567.5,633.9466,647.29319,705.7388,646.85154
Bayfield,196.1875,194.18,205.5315,191.333,207.831,206.3345,215.423,233.4905,250.244,226.592,239.9875,235.6805,339.9774,328.5,235.79,221.37907,225.09,220.153,213.781,212.2,201.5,248.9,296.599,332.53106,364,435.14205,444.44371,611.3516,293.44029
Brown,1556.3235,1592.6045,1663.7795,1671.1525,1846.7905,2006.113,1914.6075,1898.511,1936.763,2054.9135,2172.042,2217.156,2213.568,2263.219,2325.415,2403.51478,2442.318,2457.496,2398.999,2398.6,2300.7,2292.2,2336.877095,2170.53455,2257.7,2202.39102,2276.9576,2372.448,2516.634485
Buffalo,145.051,141.7295,137.459,138.8095,159.6145,171.8785,183.3395,184.179,185.7485,178.12,181.405,183.668,183.2928,177.0615,183.595,184.54108,190.686,179.461,171.222,170.2,164.6,176,178.84562,204.45256,207.8,233.93288,238.64941,243.0342,211.18462
Burnett,133.59,116.143,115.778,115.5955,122.129,124.392,132.057,153.008,174.908,161.7315,171.112,160.3445,159.6126,159.4685,163.52,166.468835,167.994,171.134,175.383,170.3,158.6,158.6,177.89881,225.623655,283.7,322.003,327.472525,420.3515,204.777775
Calumet,231.0815,232.213,222.8325,259.6975,252.288,285.3205,296.1975,356.824,368.5405,339.669,356.97,358.1015,344.3328,345.728,341.64,381.215855,387.96,397.701,394.602,385.5,370.6,357.6,365.017885,346.690505,370.4,383.57777,390.470795,394.9639,469.3681
Chippewa,501.072,508.883,523.0085,503.0795,535.0535,557.063,580.277,601.885,615.828,620.8285,683.426,659.8835,669.2676,704.6325,721.97,686.67523,695.4,841.505,820.593,800.7,794.4,764.2,855.384435,844.356325,865.9,894.318985,921.01691,977.3419,924.19314
Clark,298.6795,283.7145,290.175,281.9625,316.0535,319.229,334.3765,354.3055,394.565,376.4975,402.3395,401.792,398.9766,397.0105,415.735,418.05421,424.56,409.669,409.603,409.6,394.1,391.7,385.065145,398.73038,435.2,535.207895,544.98661,635.2037,481.52552
