"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_20","DEER_MGMT_","DMUArea","AREA_SQM"
1,"Adams",3460444.06127,1300741778.31,141,"57C",1139.39353749,1.07145231048
1,"Adams",3460444.06127,1300741778.31,149,"53",1640.73782859,197.664905679
1,"Adams",3460444.06127,1300741778.31,158,"54A",1649.17037406,232.563861033
1,"Adams",3460444.06127,1300741778.31,163,"54B",705.992635537,0.371960389378
1,"Adams",3460444.06127,1300741778.31,166,"54C",369.123185482,69.0591487084
1,"Adams",3460444.06127,1300741778.31,170,"70E-CWD",266.272265836,1.48788025545
2,"Ashland",3296207.87517,2595041129.74,0,"79",1.25940914084,0.463063962685
2,"Ashland",3296207.87517,2595041129.74,1,"79",31.7851752314,11.9599712509
2,"Ashland",3296207.87517,2595041129.74,2,"79",0.667220734605,0.236019783471
2,"Ashland",3296207.87517,2595041129.74,3,"79",4.22516902487,1.57708021612
2,"Ashland",3296207.87517,2595041129.74,4,"79",1.38615837137,0.500923547465
2,"Ashland",3296207.87517,2595041129.74,5,"79",5.42586577945,2.00898410031
2,"Ashland",3296207.87517,2595041129.74,6,"79",7.38356553924,2.76822476248
2,"Ashland",3296207.87517,2595041129.74,7,"79",5.33821783006,2.02477108924
2,"Ashland",3296207.87517,2595041129.74,8,"79",2.71616810838,1.00629593916
2,"Ashland",3296207.87517,2595041129.74,12,"79",5.2570374599,2.01056750956
2,"Ashland",3296207.87517,2595041129.74,13,"79",39.7120137372,15.2037769566
2,"Ashland",3296207.87517,2595041129.74,14,"79",20.2113592054,7.71182325551
2,"Ashland",3296207.87517,2595041129.74,19,"79",6.17161836336,2.28355370596
2,"Ashland",3296207.87517,2595041129.74,20,"79",3.10572441419,1.16774236079
2,"Ashland",3296207.87517,2595041129.74,21,"78",58.8342651677,21.9476695971
2,"Ashland",3296207.87517,2595041129.74,22,"79",7.72815681306,2.92597538144
2,"Ashland",3296207.87517,2595041129.74,25,"78",0.98157468714,0.285519532544
2,"Ashland",3296207.87517,2595041129.74,26,"7",500.914130526,180.33596039
2,"Ashland",3296207.87517,2595041129.74,28,"6",1590.18958299,275.45996009
2,"Ashland",3296207.87517,2595041129.74,29,"28",1765.33768533,209.28214315
2,"Ashland",3296207.87517,2595041129.74,33,"13",2104.51453448,33.1556064163
2,"Ashland",3296207.87517,2595041129.74,36,"29A",709.484583569,39.7925838888
2,"Ashland",3296207.87517,2595041129.74,37,"14",884.553176912,187.277315737
3,"Barron",7454324.425,1374707806.59,51,"17",740.780027348,8.66419131068
3,"Barron",7454324.425,1374707806.59,53,"15",1313.74468972,76.3201224802
3,"Barron",7454324.425,1374707806.59,55,"16",1274.72353381,27.6171897036
3,"Barron",7454324.425,1374707806.59,58,"22",1650.25673887,313.074590117
3,"Barron",7454324.425,1374707806.59,67,"23",1342.33392569,50.3982404036
3,"Barron",7454324.425,1374707806.59,82,"22A",1307.10889724,54.703317543
4,"Bayfield",4438110.03157,3653560559.33,9,"79",11.4697784405,4.34997243049
4,"Bayfield",4438110.03157,3653560559.33,10,"79",1.07314807906,0.375760606431
4,"Bayfield",4438110.03157,3653560559.33,11,"79",1.12357245534,0.405109922477
4,"Bayfield",4438110.03157,3653560559.33,15,"3",1492.11862546,554.465052129
4,"Bayfield",4438110.03157,3653560559.33,17,"79",0.114398050836,0.0239339029965
4,"Bayfield",4438110.03157,3653560559.33,23,"2",1754.29304289,296.431435912
4,"Bayfield",4438110.03157,3653560559.33,28,"6",1590.18958299,270.911165091
4,"Bayfield",4438110.03157,3653560559.33,32,"9",1199.5370486,149.223852705
4,"Bayfield",4438110.03157,3653560559.33,33,"13",2104.51453448,134.162555122
5,"Brown",2336438.22904,294715331.076,128,"80B",1470.86003643,3.6543490899
5,"Brown",2336438.22904,294715331.076,129,"63B",1855.33220313,0.996556905328
5,"Brown",2336438.22904,294715331.076,135,"64M",937.30520543,81.0118958056
5,"Brown",2336438.22904,294715331.076,139,"63B",0.0123771509408,0.00307491391511
5,"Brown",2336438.22904,294715331.076,140,"63B",0.283408303212,0.0624434800743
5,"Brown",2336438.22904,294715331.076,142,"63B",0.500748026861,0.0627035822561
5,"Brown",2336438.22904,294715331.076,148,"64",2473.8802669,27.6688971163
6,"Buffalo",5695342.48166,1450045154.51,120,"59B",2946.50559975,5.96405932222
6,"Buffalo",5695342.48166,1450045154.51,136,"61",3283.64463545,552.733398941
6,"Buffalo",5695342.48166,1450045154.51,155,"61B",19.395825979,1.16414555718
7,"Burnett",4049341.22307,1974778197.74,34,"8",1030.40540246,101.250933588
7,"Burnett",4049341.22307,1974778197.74,39,"11",1013.75211159,200.578321132
7,"Burnett",4049341.22307,1974778197.74,43,"10",1002.44030917,278.041179639
7,"Burnett",4049341.22307,1974778197.74,53,"15",1313.74468972,120.228148032
7,"Burnett",4049341.22307,1974778197.74,55,"16",1274.72353381,62.3614005206
8,"Calumet",1276602.85896,177572197.146,129,"63B",1855.33220313,0.940654572237
8,"Calumet",1276602.85896,177572197.146,148,"64",2473.8802669,57.1630535855
8,"Calumet",1276602.85896,177572197.146,151,"W",534.171891276,0.0846907666068
8,"Calumet",1276602.85896,177572197.146,161,"69",2627.81513836,10.3726097033
9,"Chippewa",7886917.55977,1724383618.6,64,"24",881.978579927,70.1677590575
9,"Chippewa",7886917.55977,1724383618.6,67,"23",1342.33392569,171.745742336
9,"Chippewa",7886917.55977,1724383618.6,82,"22A",1307.10889724,43.8899841298
9,"Chippewa",7886917.55977,1724383618.6,94,"23A",6.35331474859,1.45780132178
9,"Chippewa",7886917.55977,1724383618.6,113,"59A",2186.80474176,272.360438454
9,"Chippewa",7886917.55977,1724383618.6,120,"59B",2946.50559975,69.8043889381
9,"Chippewa",7886917.55977,1724383618.6,125,"58",1768.64954181,36.36212314
10,"Clark",7400022.9875,1936691874.9,113,"59A",2186.80474176,12.159508032
10,"Clark",7400022.9875,1936691874.9,116,"27",1269.20943291,145.035875174
10,"Clark",7400022.9875,1936691874.9,125,"58",1768.64954181,289.980828256
10,"Clark",7400022.9875,1936691874.9,134,"57B",1204.39163648,115.847020111
10,"Clark",7400022.9875,1936691874.9,143,"59C",2211.31687801,3.11003134628
10,"Clark",7400022.9875,1936691874.9,144,"55",1753.38650388,177.895445429
10,"Clark",7400022.9875,1936691874.9,147,"56",954.930917441,3.73220507777
11,"Columbia",5205603.56722,961401294.363,156,"67A",1247.28429,43.7980792376
11,"Columbia",5205603.56722,961401294.363,157,"67B",819.352950536,21.1082876737
11,"Columbia",5205603.56722,961401294.363,160,"68A",1476.11816241,0.000639431060663
11,"Columbia",5205603.56722,961401294.363,163,"54B",705.992635537,0.000683002254045
11,"Columbia",5205603.56722,961401294.363,166,"54C",369.123185482,1.78803015229
11,"Columbia",5205603.56722,961401294.363,170,"70E-CWD",266.272265836,55.3685151726
11,"Columbia",5205603.56722,961401294.363,172,"68B",1610.78360869,0.737234282282
11,"Columbia",5205603.56722,961401294.363,173,"70B-CWD",1000.4770722,128.052532674
11,"Columbia",5205603.56722,961401294.363,174,"70G-CWD",918.689324138,120.329840149
11,"Columbia",5205603.56722,961401294.363,179,"76A-CWD",2412.88872976,0.00387564459234
11,"Columbia",5205603.56722,961401294.363,181,"76-CWD",2348.90147513,0.0113975499849
12,"Crawford",4323581.91309,1178814390.46,165,"74A",828.37805266,0.00176861205229
12,"Crawford",4323581.91309,1178814390.46,171,"71-CWD",2311.26702223,57.7091425921
12,"Crawford",4323581.91309,1178814390.46,175,"74B",1553.92131723,397.421485871
12,"Crawford",4323581.91309,1178814390.46,186,"73D",643.929128326,0.0103836628867
13,"Dane",7672068.87601,1110436976.41,173,"70B-CWD",1000.4770722,0.0363112086145
13,"Dane",7672068.87601,1110436976.41,174,"70G-CWD",918.689324138,0.0120409791222
13,"Dane",7672068.87601,1110436976.41,177,"70-CWD",1067.61090185,0.361279709093
13,"Dane",7672068.87601,1110436976.41,179,"76A-CWD",2412.88872976,25.1131622115
13,"Dane",7672068.87601,1110436976.41,181,"76-CWD",2348.90147513,252.977547879
13,"Dane",7672068.87601,1110436976.41,182,"70A-CWD",730.715107518,55.9122068934
13,"Dane",7672068.87601,1110436976.41,185,"76M-CWD",712.884684238,78.2528134133
13,"Dane",7672068.87601,1110436976.41,189,"70D-CWD",5.28211359183,0.251198177873
13,"Dane",7672068.87601,1110436976.41,190,"75C-CWD",970.350942457,14.9415910106
13,"Dane",7672068.87601,1110436976.41,195,"75A-CWD",1465.0143943,0.861235645167
13,"Dane",7672068.87601,1110436976.41,196,"77A-CWD",1923.11817892,0.0227263147909
14,"Dodge",6231246.19328,706440860.039,160,"68A",1476.11816241,0.675387666874
14,"Dodge",6231246.19328,706440860.039,161,"69",2627.81513836,8.37775796996
14,"Dodge",6231246.19328,706440860.039,172,"68B",1610.78360869,172.018368874
14,"Dodge",6231246.19328,706440860.039,174,"70G-CWD",918.689324138,1.41342044424
14,"Dodge",6231246.19328,706440860.039,179,"76A-CWD",2412.88872976,74.0604363599
14,"Dodge",6231246.19328,706440860.039,180,"77C",868.283033032,16.2129695612
15,"Door",3308852.06434,704952419.247,66,"81",3.94797707747,1.39222110666
15,"Door",3308852.06434,704952419.247,68,"81",58.4546668301,15.2746055688
15,"Door",3308852.06434,704952419.247,75,"81",0.0457865655098,0.00735337804018
15,"Door",3308852.06434,704952419.247,77,"81",2.58007064006,0.860636333423
15,"Door",3308852.06434,704952419.247,79,"81",1.20338744591,0.431007163032
15,"Door",3308852.06434,704952419.247,80,"80A",652.015025192,151.807392129
15,"Door",3308852.06434,704952419.247,87,"82",11.4716469447,3.77877924705
15,"Door",3308852.06434,704952419.247,88,"82",0.113608830767,0.039403148077
15,"Door",3308852.06434,704952419.247,90,"80C",14.65289273,5.42101082638
15,"Door",3308852.06434,704952419.247,95,"82",0.135436474101,0.0336360312952
15,"Door",3308852.06434,704952419.247,128,"80B",1470.86003643,92.6775680635
16,"Douglas",4119664.31782,3206691724.77,23,"2",1754.29304289,330.590816758
16,"Douglas",4119664.31782,3206691724.77,24,"1M",138.955119893,31.9300809735
16,"Douglas",4119664.31782,3206691724.77,27,"1",467.148738458,161.258054353
16,"Douglas",4119664.31782,3206691724.77,30,"4",926.687937451,348.508773994
16,"Douglas",4119664.31782,3206691724.77,32,"9",1199.5370486,165.671626736
16,"Douglas",4119664.31782,3206691724.77,34,"8",1030.40540246,199.893481358
17,"Dunn",6808148.62895,1517064352.59,82,"22A",1307.10889724,227.803182404
17,"Dunn",6808148.62895,1517064352.59,120,"59B",2946.50559975,357.938638856
18,"Eau Claire",4677672.61021,1194005232.57,113,"59A",2186.80474176,174.307532549
18,"Eau Claire",4677672.61021,1194005232.57,120,"59B",2946.50559975,113.404753343
18,"Eau Claire",4677672.61021,1194005232.57,125,"58",1768.64954181,173.293727903
18,"Eau Claire",4677672.61021,1194005232.57,143,"59C",2211.31687801,0.00198387187185
19,"Florence",1179079.87719,1236024815.85,42,"39",1134.85311769,11.6452118405
19,"Florence",1179079.87719,1236024815.85,44,"40",873.046975251,275.679874097
19,"Florence",1179079.87719,1236024815.85,45,"50",906.694991992,189.852653477
20,"Fond du Lac",4028073.67362,555225933.561,150,"66",1547.06405587,3.39774943407
20,"Fond du Lac",4028073.67362,555225933.561,151,"W",534.171891276,0.194821458371
20,"Fond du Lac",4028073.67362,555225933.561,160,"68A",1476.11816241,90.2005855943
20,"Fond du Lac",4028073.67362,555225933.561,161,"69",2627.81513836,120.552855749
20,"Fond du Lac",4028073.67362,555225933.561,172,"68B",1610.78360869,0.0279189610938
21,"Forest",2193998.24874,2581276230.2,35,"35",1056.29740123,16.1359189678
21,"Forest",2193998.24874,2581276230.2,42,"39",1134.85311769,397.213347082
21,"Forest",2193998.24874,2581276230.2,44,"40",873.046975251,52.1852171517
21,"Forest",2193998.24874,2581276230.2,45,"50",906.694991992,2.2433486008
21,"Forest",2193998.24874,2581276230.2,46,"38",1280.5112495,58.4911276206
21,"Forest",2193998.24874,2581276230.2,57,"45",1582.86775185,217.993128064
21,"Forest",2193998.24874,2581276230.2,59,"44",1307.23962251,219.20286131
21,"Forest",2193998.24874,2581276230.2,61,"43",1280.41719479,33.155293608
22,"Grant",7330495.82404,1417197915.3,171,"71-CWD",2311.26702223,1.05224008002
22,"Grant",7330495.82404,1417197915.3,175,"74B",1553.92131723,0.858957061184
22,"Grant",7330495.82404,1417197915.3,184,"73E-CWD",1026.30598166,140.206275288
22,"Grant",7330495.82404,1417197915.3,186,"73D",643.929128326,158.452412188
22,"Grant",7330495.82404,1417197915.3,190,"75C-CWD",970.350942457,0.640595391298
22,"Grant",7330495.82404,1417197915.3,191,"73A",17.1599442988,5.65346652233
22,"Grant",7330495.82404,1417197915.3,192,"73B",1406.85550798,185.114405297
22,"Grant",7330495.82404,1417197915.3,193,"73B-CWD",416.744494383,53.5786359146
22,"Grant",7330495.82404,1417197915.3,197,"75D-CWD",1409.78200494,1.48738662663
23,"Green",4210861.5439,465816991.01,181,"76-CWD",2348.90147513,57.9582242968
23,"Green",4210861.5439,465816991.01,190,"75C-CWD",970.350942457,1.21879512865
23,"Green",4210861.5439,465816991.01,195,"75A-CWD",1465.0143943,120.65807723
23,"Green",4210861.5439,465816991.01,196,"77A-CWD",1923.11817892,0.017701511189
24,"Green Lake",2457695.77764,463844185.776,150,"66",1547.06405587,6.64603877669
24,"Green Lake",2457695.77764,463844185.776,156,"67A",1247.28429,25.9115726643
24,"Green Lake",2457695.77764,463844185.776,157,"67B",819.352950536,118.379357157
24,"Green Lake",2457695.77764,463844185.776,160,"68A",1476.11816241,28.154272781
25,"Iowa",4841882.92368,1081753364.26,171,"71-CWD",2311.26702223,0.456071815641
25,"Iowa",4841882.92368,1081753364.26,177,"70-CWD",1067.61090185,0.878370762264
25,"Iowa",4841882.92368,1081753364.26,181,"76-CWD",2348.90147513,0.826543864722
25,"Iowa",4841882.92368,1081753364.26,182,"70A-CWD",730.715107518,162.609870948
25,"Iowa",4841882.92368,1081753364.26,184,"73E-CWD",1026.30598166,136.902047991
25,"Iowa",4841882.92368,1081753364.26,187,"70C-CWD",21.2822230381,7.02722073367
25,"Iowa",4841882.92368,1081753364.26,189,"70D-CWD",5.28211359183,1.75454061363
25,"Iowa",4841882.92368,1081753364.26,190,"75C-CWD",970.350942457,107.186348953
25,"Iowa",4841882.92368,1081753364.26,197,"75D-CWD",1409.78200494,0.0262933186208
26,"Iron",2825891.1826,1922288339.91,26,"7",500.914130526,9.02661907634
26,"Iron",2825891.1826,1922288339.91,29,"28",1765.33768533,446.397342722
26,"Iron",2825891.1826,1922288339.91,31,"34",793.476506321,118.828066805
26,"Iron",2825891.1826,1922288339.91,36,"29A",709.484583569,102.210075961
26,"Iron",2825891.1826,1922288339.91,38,"29B",726.677720346,65.6733541056
27,"Jackson",5655543.20064,2142628047.74,125,"58",1768.64954181,6.49230354089
27,"Jackson",5655543.20064,2142628047.74,143,"59C",2211.31687801,358.462005931
27,"Jackson",5655543.20064,2142628047.74,144,"55",1753.38650388,432.4547737
27,"Jackson",5655543.20064,2142628047.74,147,"56",954.930917441,4.00698680322
27,"Jackson",5655543.20064,2142628047.74,152,"72",1936.95083831,16.4015336778
27,"Jackson",5655543.20064,2142628047.74,153,"MCC",241.746579182,0.00723274899504
27,"Jackson",5655543.20064,2142628047.74,154,"59D",1485.78769579,9.4484778929
28,"Jefferson",4010785.71735,509722373.974,179,"76A-CWD",2412.88872976,179.6290487
28,"Jefferson",4010785.71735,509722373.974,188,"77C-CWD",1149.47565311,17.1758601338
29,"Juneau",4831294.60116,1585248608.13,144,"55",1753.38650388,0.338831557508
29,"Juneau",4831294.60116,1585248608.13,147,"56",954.930917441,137.210503144
