"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_19","UNIT_ID","DMUArea","AREA_SQM"
6,"Buffalo",5695342.48166,1450045154.51,71,"61",3467.52755443,547.585311869
6,"Buffalo",5695342.48166,1450045154.51,85,"61B",19.395867739,1.16414783553
6,"Buffalo",5695342.48166,1450045154.51,118,"61C",16.1497544547,5.14808680744
12,"Crawford",4323581.91309,1178814390.46,93,"74A",855.810395104,0.00176846941441
12,"Crawford",4323581.91309,1178814390.46,97,"71",2311.26693772,57.7091301414
12,"Crawford",4323581.91309,1178814390.46,99,"74B",1553.92140415,397.421498408
12,"Crawford",4323581.91309,1178814390.46,107,"73",1012.36119778,0.0103837192707
22,"Grant",7330495.82404,1417197915.3,97,"71",2311.26693772,1.05224288776
22,"Grant",7330495.82404,1417197915.3,99,"74B",1553.92140415,0.858937321016
22,"Grant",7330495.82404,1417197915.3,106,"73C",657.874199921,40.3231900507
22,"Grant",7330495.82404,1417197915.3,107,"73",1012.36119778,258.335524208
22,"Grant",7330495.82404,1417197915.3,111,"73A",17.1597773214,5.65346029252
22,"Grant",7330495.82404,1417197915.3,113,"73B",1823.59996337,238.693036111
27,"Jackson",5655543.20064,2142628047.74,73,"59C",2211.31684174,358.461996373
27,"Jackson",5655543.20064,2142628047.74,74,"55",1753.38664049,432.454759872
27,"Jackson",5655543.20064,2142628047.74,77,"56",954.930937222,4.00698663386
27,"Jackson",5655543.20064,2142628047.74,82,"72",2559.80310285,16.4015539161
27,"Jackson",5655543.20064,2142628047.74,83,"MCC",241.746596521,0.0072345502795
27,"Jackson",5655543.20064,2142628047.74,84,"59D",1420.41947936,9.44846853469
32,"La Crosse",3322902.69147,828893532.641,71,"61",3467.52755443,28.1302187519
32,"La Crosse",3322902.69147,828893532.641,73,"59C",2211.31684174,0.0245274133436
32,"La Crosse",3322902.69147,828893532.641,84,"59D",1420.41947936,277.426792903
32,"La Crosse",3322902.69147,828893532.641,93,"74A",855.810395104,14.4560360393
32,"La Crosse",3322902.69147,828893532.641,116,"59D",1.83590655814e-05,7.08847484777e-06
42,"Monroe",6734264.34182,1677921915.52,73,"59C",2211.31684174,30.6072211501
