DEER_MGMT_,UNIT_DEZ,COUNTY_NAM,AREA_SQM
1,,Douglas,161.25805553200
10,,Burnett,278.04118025500
10,,Polk,66.44189816090
11,,Burnett,200.57831978500
11,,Washburn,140.30393492400
12,,Sawyer,27.73364913140
12,,Washburn,236.44941198600
13,,Ashland,33.15560691220
13,,Bayfield,134.16259010200
13,,Sawyer,547.31278164100
14,,Ashland,187.27731540000
14,,Price,82.58121206780
14,,Sawyer,58.41651068860
15,,Barron,76.32012371800
15,,Burnett,120.22814840300
15,,Polk,127.14130169500
15,,Washburn,90.10472717900
16,,Barron,27.61718995400
16,,Burnett,62.36140030070
16,,Polk,245.04855027400
17,,Barron,8.66419149810
17,,Sawyer,88.48314097110
17,,Washburn,140.96012185000
18,,Rusk,235.57171230200
18,,Sawyer,132.06138796700
19,,Rusk,171.64693218200
19,,Sawyer,230.93617500100
1M,,Douglas,31.93007915520
2,,Bayfield,180.74531932200
2,,Douglas,330.59081499400
20,,Price,284.83436752500
20,,Rusk,15.14409920590
20,,Sawyer,77.85089080380
21,,Polk,170.21045387900
21,,Saint Croix,55.06482801720
22,,Barron,313.07458977900
22,,Polk,9.20391254393
22,,Rusk,25.22394375740
22,,Sawyer,0.90737262834
22,,Washburn,0.94222822515
22A,,Barron,54.70331696650
22A,,Chippewa,43.88998475370
22A,,Dunn,227.80318293700
22A,,Polk,5.21501489707
22A,,Saint Croix,21.33887970860
23,,Barron,50.39823968580
23,,Chippewa,171.74574330800
23,,Rusk,180.47298302800
23A,,Chippewa,1.45780056351
24,,Chippewa,70.16775898570
24,,Rusk,128.39733449500
24,,Taylor,79.56333255170
25,,Price,295.46519620200
25,,Rusk,61.81799387440
25,,Taylor,79.30429460130
26,,Taylor,390.89200212000
27,,Clark,145.03587508600
27,,Marathon,1.21937315597
27,,Taylor,101.98838666700
28,,Ashland,209.28214260000
28,,Iron,446.39734172300
29A,,Ashland,39.79258350060
29A,,Iron,102.21007522600
29A,,Price,97.49534996940
29B,,Iron,65.67335402440
29B,,Oneida,5.34763550007
29B,,Price,22.16237078270
29B,,Vilas,140.16349046800
3,,Bayfield,554.46500865800
30,,Price,314.57108795400
31,,Lincoln,6.56105337060
31,,Oneida,334.97004561900
31,,Price,65.01396664540
31,,Vilas,7.29592175269
32,,Lincoln,363.24523098700
32,,Oneida,0.03004467512
32,,Price,37.46716127800
32,,Taylor,86.29340918320
33,,Lincoln,42.63398923410
33,,Marathon,204.36364001000
33,,Taylor,29.20006521810
34,,Iron,118.82806650700
34,,Vilas,143.26209893700
35,,Florence,2.63746389150
35,,Forest,64.31105376000
35,,Vilas,342.03955332600
36,,Oneida,83.80972792930
36,,Vilas,190.11384840600
37,,Lincoln,1.95211843689
37,,Oneida,233.04246671400
38,,Forest,58.49112789140
38,,Langlade,4.27265408085
38,,Lincoln,3.28862328794
38,,Oneida,308.84531005000
38,,Vilas,13.28616676860
39,,Florence,9.00774829152
39,,Forest,349.03821290200
39,,Oneida,35.76888737010
39,,Vilas,16.99662518260
4,,Douglas,348.50877185100
40,,Florence,275.67987419000
40,,Forest,52.18521536830
41,,Marinette,194.64331584800
