 Unit,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,4760,4093,2909,3036,2771,3729,5153,5534,7080,6635,5919,3463,4468,6191,6300,6200,6800,7600,6200,7100,5000,4100,6300,3500,4930,5510,5520,3840,3700,3900,4100,5100,3100
1M,,,,,,,,,,,,,,,,,,,,,150,240,830,430,710,990,1140,890,880,1100,1200,1200,700
2,10310,10331,6271,7405,7163,10894,15628,15696,15939,16460,15724,10042,8393,15528,18500,13500,13200,18200,18500,19700,14000,11700,16600,15630,17720,21500,21640,14130,15080,15600,14200,17300,12100
3,5165,6927,3988,3135,3282,6050,7949,7860,8099,8223,12251,6240,7159,12496,15500,9400,9500,12300,14200,15900,14600,11100,15900,14170,14390,14850,13380,8600,8040,7700,10500,9700,7500
4,3642,3759,2654,2966,2842,3187,5114,6498,7403,8443,9155,6404,5110,6689,8100,6000,6300,6400,6500,7600,6600,4900,5800,4990,7120,6870,7770,4350,4680,7700,6300,7300,6000
5,4203,3716,2549,2737,3086,4478,6339,5780,6885,7576,6995,4734,5073,7664,9700,6500,7500,9600,9900,11400,8000,7700,7400,5370,,,,,,,,,
6,3342,3106,2174,2414,3038,3580,6294,6900,7227,7231,6705,6086,6313,10796,12900,6700,5500,8500,9800,9500,9900,7800,11000,8480,10560,12370,14560,8930,9910,11400,11100,10800,7600
7,2156,2330,1506,1227,1670,1665,2446,3706,3716,3349,3149,3992,4767,5915,6500,5500,4600,4900,5100,7000,3200,2200,2300,2320,1830,2410,2400,1240,1350,1700,1800,1800,1300
8,9507,8214,4918,6998,6642,9096,9973,9871,12814,14182,14261,6142,6075,10489,10900,9300,9900,10900,11100,11200,9900,6200,11000,6140,8140,10500,9520,8170,9220,12600,7700,9700,7100
9,9615,8148,5386,7837,7406,10553,13213,13446,15293,13852,12686,7438,7597,13170,14100,11200,12700,14700,13700,13400,13700,9300,14000,12340,15330,15990,15070,10100,9690,11600,8400,10600,8300
10,9427,6915,5609,8470,8060,10428,10373,10496,9751,10676,10821,7287,9126,11844,9900,9500,11400,12300,12500,9700,8200,8700,9900,8150,10580,12230,8620,10240,9220,13200,9900,15200,10600
11,5947,4660,3876,4725,4626,5965,7971,7700,9953,9227,6843,4770,6916,10861,8900,8200,9100,8900,11000,7700,9400,6100,8200,7630,7640,9940,10080,7940,8600,11100,8500,9400,6000
12,6823,4756,4039,5553,4803,4363,5621,5587,7212,6839,6750,4575,5092,7814,8400,5800,7100,7300,8700,6200,8500,5600,6600,5240,6580,7740,7150,5780,7320,10400,6600,8500,6000
13,8536,6772,5715,7336,7510,7281,10915,14204,16828,19006,16643,10258,11196,18582,24200,13800,11500,15800,19500,21900,19800,16500,16600,14450,16110,17140,13860,11040,10010,12500,11600,12900,9200
14,3602,3106,2764,3474,3357,4376,5585,6927,7734,7360,6859,4633,5100,7406,9700,6000,5700,6300,9700,9900,8100,6500,8800,8150,8680,8060,7700,6710,4540,7000,6100,6000,4800
15,6837,6895,5420,6602,7059,12269,12057,13249,13797,13655,9473,9089,11175,10640,15200,9900,10800,11600,12600,9900,11600,9900,13200,10230,14720,13410,14610,9510,13340,15500,12000,14600,14300
16,6897,5678,5353,6426,7090,8954,10063,9475,9267,9112,7609,7476,9034,9429,10600,7900,9600,9600,9700,9300,8500,7600,9800,11450,13020,12940,13020,9200,11590,12200,11100,13000,8900
17,6507,4985,4504,5915,6438,2279,3055,4106,4672,4865,3850,2385,3724,4840,5700,4100,5400,5400,6500,5000,3800,4400,6100,4830,6290,6650,5370,4620,4060,6600,5500,6100,4600
18,9050,6233,4836,7519,7996,9129,10285,9905,12519,11701,10165,7123,7107,10862,11800,9500,9800,12100,11600,13300,9000,11300,11100,9430,11980,13870,14620,7680,7510,11300,8900,10100,7800
