Unit,DeerRange,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,161,25.3,21.8,15.5,16.1,14.7,18.1,25,26.9,34.4,32.2,28.7,16.8,21.7,27,30,30,33,37,30,35,31,26,39,22,30.65,34.2,34.3,23.88,23,24.03,25.59,32,19
1M,32,,,,,,,,,,,,,,,,,,,,,5,8,26,14,22.03,30.9,35.57,27.79,27.35,35.19,36.81,39,22.4
2,627,20.8,20.9,12.7,15,14.5,20.3,29.2,29.3,29.7,30.7,29.3,18.7,15.7,27,18,25,25,34,35,37,27,23,32,31,28.27,34.28,34.51,22.54,24.05,24.83,22.69,28,19.2
3,555,9.22,12.37,7.12,5.6,5.86,10.8,14.19,14.04,14.46,14.68,21.88,11.14,12.78,21,28,17,17,22,25,28,26,20,29,26,25.93,26.76,24.1,15.49,14.49,13.94,18.84,17,13.5
4,349,11.7,12.1,8.5,9.5,9.1,9.5,15.2,19.3,22,25.1,27.2,19,15.2,18,24,18,19,19,19,22,19,14,17,14,20.39,19.69,22.26,12.46,13.42,22,17.92,21,17.3
5,,19.1,16.9,11.6,12.4,14,19.1,27,24.6,29.3,32.2,29.8,20.1,21.6,30,41,28,32,41,42,49,36,34,33,24,,,,,,,,,
6,546,8.8,8.2,5.8,6.4,8,8.9,15.6,17.1,17.9,17.9,16.6,15.1,15.6,24,32,17,14,21,24,23,23,18,25,19,19.33,22.66,26.66,16.36,18.16,20.91,20.3,20,14
7,189,7.99,8.63,5.58,4.54,6.19,6.17,9.06,13.73,13.76,12.4,11.66,14.79,17.66,30,24,20,17,18,19,26,17,11,12,12,9.67,12.74,12.72,6.55,7.16,8.97,9.45,10,7.1
8,370,26.4,22.8,13.7,19.4,18.4,25,27.4,27.1,35.2,39,39.2,16.9,16.7,27,30,26,27,30,31,31,27,17,30,17,22,28.38,25.73,22.09,24.91,34.17,20.69,26,19.1
9,438,22.5,19.1,12.6,18.4,17.3,24.4,30.5,31.1,35.3,32,29.3,17.2,17.5,28,32,26,29,34,32,31,31,21,32,28,35,36.5,34.4,23.06,22.13,26.4,19.29,24,19
10,345,28.7,21,17,25.7,24.5,32.3,32.1,32.5,30.2,33.1,33.5,22.6,28.3,34,31,29,35,38,39,30,24,25,29,24,30.67,35.44,24.98,29.69,26.72,38.33,28.66,44,30.8
11,341,18.3,14.3,11.9,14.5,14.2,18.8,25.1,24.3,31.4,29.1,21.6,15,21.8,32,28,26,29,28,35,24,27,18,24,22,22.41,29.15,29.56,23.28,25.23,32.67,24.86,28,17.6
