Region,UnitGroup,Unit,DeerRangeOld,DeerRange2001,60_64,65_69,70_74,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
NorthFor,A,1,206,161,1648,1648,1030,1442,4120,,2266,1648,1648,1442,824,,1318,,1133,,1009,,2019,,1071,824,2472,618,1236,1236,618,2060,783,1935,1726,1935,1452,2742,1290,1290,806,806,1790,1613,1290,1935,
NorthFor,A,1M,,32,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,128,144,160,160,,,,,,,607,,160,
NorthFor,A,2,536,511,3752,3752,4288,4288,5360,,5360,5896,5360,5896,5896,,5360,,4878,,5521,,4342,,5360,3752,2144,5360,5360,4824,5896,4824,6378,5625,4142,6647,6647,7670,4602,6136,5113,5625,7261,6136,6647,5625,
NorthFor,A,3,550,555,2750,2200,2750,2200,3300,,3300,2200,2200,3300,3300,,1320,,0,,1320,,1320,,4180,1650,1650,2200,2750,2240,3920,3920,4704,3882,2718,4437,3882,4991,4991,3882,3328,3882,3716,2773,4437,3328,
NorthFor,A,4,337,349,2022,2022,1348,1011,2359,,2359,2359,1348,1685,1685,,1786,,1415,,674,,539,,2123,1685,1011,1348,1685,2359,2359,1685,1247,1743,2858,1743,2788,2788,2440,2440,1743,2091,2684,2440,1743,1743,
NorthFor,A,5,235,226,2585,2820,2585,3995,3760,,4230,3290,3760,2585,1880,,2585,,846,,2139,,1763,,3478,1645,705,3760,4230,3290,3995,3760,3901,3170,3012,2265,2265,,,,,,,,,0,
NorthFor,C,6,404,436,3232,1616,1616,2020,6868,,3636,2424,2828,2424,2828,,2101,,848,,2586,,2020,,2141,2020,3232,3232,3232,2424,2828,3636,3111,2614,4139,3921,3485,4357,4357,4357,3921,3485,3965,3485,3050,3050,
NorthFor,C,7,178,189,1246,712,712,1068,1246,,890,712,1246,712,890,,605,,374,,374,,890,,356,1602,534,712,890,810,1080,810,1863,757,436,568,189,568,379,189,568,379,360,379,0,379,
NorthFor,B,8,364,370,3276,3640,3640,4004,5460,,4004,5096,4368,4004,4004,,5424,,2839,,5496,,4186,,6807,2912,1456,4732,3276,4004,4368,6188,3895,4441,5145,4071,4441,4441,2961,5182,4071,6292,3738,4071,3331,4441,
NorthFor,B,9,433,438,4763,5196,6062,5629,8227,,7361,7794,6495,5629,6062,,3897,,3724,,5716,,3940,,8400,4330,1299,7794,6062,4763,6062,4330,6062,3944,5565,4820,5697,5259,7012,3944,5697,6135,5872,6573,5259,5259,
NorthFor,B,10,323,345,3230,3876,3876,3876,5814,,4845,3553,4199,4199,5168,,5168,,3715,,6945,,3101,,5330,2907,3230,5491,4522,5491,4845,4199,5782,6201,5719,5512,5857,5857,5512,4823,4823,4823,4444,4823,4134,5857,
NorthFor,B,11,317,341,3170,3170,3487,3804,5072,,3170,2536,5072,4121,3804,,4375,,1997,,3138,,3772,,5738,3170,3804,4121,3804,5072,4755,4755,4058,6477,5011,4432,5113,5454,6136,3068,5113,4432,3375,5795,5795,3409,
NorthFor,B,12,272,264,2448,1904,2176,1632,1632,,2720,2448,2992,3264,3536,,2258,,1142,,2122,,2965,,3210,2448,1360,3264,3264,2720,3536,3264,4842,3434,4148,3434,2113,2642,5812,2378,2906,3434,4465,2906,3170,3170,
NorthFor,C,13,661,715,5949,4627,3966,2644,4627,,4627,7271,5288,5288,3966,,3437,,2644,,4363,,4230,,7139,3966,2644,7271,7271,5736,5736,7170,6740,7146,8004,8576,8576,7146,6432,5717,5717,5717,4431,6432,6432,5002,
NorthFor,C,14,333,328,2664,2331,1332,1665,999,,1332,1998,1998,1998,1665,,1632,,1432,,2031,,2831,,2664,2331,1665,3330,2331,1998,1998,2331,2198,2954,3020,3939,3611,2954,1641,2298,1641,2954,2331,1970,3611,2626,
WestFrm,J,15,374,414,2618,2992,5610,6358,5984,,8976,8602,6732,4862,4862,,6134,,5984,,5049,,8116,,6021,4114,10098,5610,5610,9350,8602,6358,8265,6621,8441,7862,5793,7034,8690,7862,6207,6621,6207,8276,7448,5379,
WestFrm,J,16,281,335,1967,2248,2810,2810,5620,,4496,3372,4496,3091,2529,,5367,,6575,,3597,,5957,,4805,4131,5058,4496,6463,5620,5901,6463,5451,5360,6600,6031,6366,5696,4690,7036,4020,5696,6064,7371,5025,4355,
NorthFor,B,17,246,238,1230,1476,2214,984,2214,,2952,2952,3198,4182,4182,,3715,,2288,,1796,,2165,,2927,1722,1722,3198,3936,2214,2460,3936,3419,2619,4881,5715,3572,3334,3572,2857,1429,3810,2500,3572,5000,1667,
NorthFor,D,18,368,368,1472,1840,2576,2208,3312,,3680,3680,3680,3680,3680,,3901,,3422,,4600,,3790,,6403,4784,3312,5520,4784,2944,5152,5152,3901,4779,5147,5147,6617,5882,5882,4044,4779,5882,5514,5882,4779,3676,
NorthFor,D,19,393,403,4716,4716,3144,1965,3930,,3930,3144,3537,3930,3144,,3969,,1729,,4952,,4598,,6288,3930,3144,3930,5502,3537,3930,3537,3734,4428,5153,3623,3623,4026,3623,4428,4026,4428,2657,4428,4831,2818,
NorthFor,D,20,352,378,3168,2816,2112,2112,4576,,2816,2464,2464,3520,3168,,2570,,563,,2253,,4330,,4682,3168,2112,3520,4224,3168,3520,3520,2640,4912,3703,3400,4912,3023,4156,3778,4156,3778,4798,3778,3400,2645,
WestFrm,J,21,196,225,1764,2156,3332,2744,3136,,3136,4508,4508,5292,6468,,5370,,5998,,3469,,3371,,3469,3352,4508,4704,3136,4900,4508,2352,4528,3604,4303,3379,3830,4731,4731,5407,4055,3154,5001,4956,5857,4280,
WestFrm,J,22,306,349,1530,2142,3366,2754,2142,,2448,4896,4590,4896,4896,,6793,,5998,,1805,,4070,,4682,3366,6120,5202,6120,5508,5814,5814,6242,5590,4297,4542,6987,4192,5240,5590,6288,3843,5520,5590,6638,4542,
WestFrm,J,22A,322,353,1610,2254,3542,2898,2254,,2576,5152,4830,5152,5152,,7148,,4283,,3478,,7020,,7084,3220,5474,5796,6762,6762,5152,6118,4379,5647,5012,4941,4235,6353,5647,4235,4941,5294,4976,6706,4588,5294,
WestFrm,J,23,390,403,1560,2340,2340,2340,3120,,4680,3120,5070,3900,3510,,4992,,5148,,5733,,5538,,7605,3900,5850,6240,8190,6630,7020,6630,5616,5637,4429,5637,6442,6040,4429,5637,6845,5637,6563,7650,5637,5234,
