Region,UnitGroup,Unit,DeerRangeOld,DeerRange2001,60_64,65_69,70_74,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NorthFor,A,1,206,161,8,8,5,7,20,,11,8,8,7,4,,6,,6,,5,,10,,5,4,12,3,6,6,3,10,4,12,11,12,9,17,8,8,5,5,11,10,8,12
NorthFor,A,01M,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,,,,,,,19,,5
NorthFor,A,2,536,511,7,7,8,8,10,,10,11,10,11,11,,10,,9,,10,,8,,10,7,4,10,10,9,11,9,12,11,8,13,13,15,9,12,10,11,14,12,13,11
NorthFor,A,3,560,555,5,4,5,4,6,,6,4,4,6,6,,2,,0,,2,,2,,8,3,3,4,5,4,7,7,8,7,5,8,7,9,9,7,6,7,7,5,8,6
NorthFor,A,4,337,349,6,6,4,3,7,,7,7,4,5,5,,5,,4,,2,,2,,6,5,3,4,5,7,7,5,4,5,8,5,8,8,7,7,5,6,8,7,5,5
NorthFor,A,5,235,226,11,12,11,17,16,,18,14,16,11,8,,11,,4,,9,,8,,15,7,3,16,18,14,17,16,17,14,13,10,10,,,,,,,,,
NorthFor,C,6,404,436,8,4,4,5,17,,9,6,7,6,7,,5,,2,,6,,5,,5,5,8,8,8,6,7,9,8,6,10,9,8,10,10,10,9,8,9,8,7,7
NorthFor,C,7,270,189,7,4,4,6,7,,5,4,7,4,5,,3,,2,,2,,5,,2,9,3,4,5,3,4,3,7,4,2,3,1,3,2,1,3,2,2,2,,2
NorthFor,B,8,364,370,9,10,10,11,15,,11,14,12,11,11,,15,,8,,15,,12,,19,8,4,13,9,11,12,17,11,12,14,11,12,12,8,14,11,17,10,11,9,12
NorthFor,B,9,433,438,11,12,14,13,19,,17,18,15,13,14,,9,,9,,13,,9,,19,10,3,18,14,11,14,10,14,9,13,11,13,12,16,9,13,14,13,15,12,12
NorthFor,B,10,323,345,10,12,12,12,18,,15,11,13,13,16,,16,,12,,22,,10,,17,9,10,17,14,17,15,13,18,18,17,16,17,17,16,14,14,14,13,14,12,17
NorthFor,B,11,317,341,10,10,11,12,16,,10,8,16,13,12,,14,,6,,10,,12,,18,10,12,13,12,16,15,15,13,19,15,13,15,16,18,9,15,13,10,17,17,10
NorthFor,B,12,272,264,9,7,8,6,6,,10,9,11,12,13,,8,,4,,8,,11,,12,9,5,12,12,10,13,12,18,13,16,13,8,10,22,9,11,13,17,11,12,12
NorthFor,C,13,717,715,9,7,6,4,7,,7,11,8,8,6,,5,,4,,7,,6,,11,6,4,11,11,8,8,10,9,10,11,12,12,10,9,8,8,8,6,9,9,7
NorthFor,C,14,333,328,8,7,4,5,3,,4,6,6,6,5,,5,,4,,6,,9,,8,7,5,10,7,6,6,7,7,9,9,12,11,9,5,7,5,9,7,6,11,8
WestFrm,J,15,374,414,7,8,15,17,16,,24,23,18,13,13,,16,,16,,14,,22,,16,11,27,15,15,25,23,17,22,16,20,19,14,17,21,19,15,16,15,20,18,13
WestFrm,J,16,281,335,7,8,10,10,20,,16,12,16,11,9,,19,,23,,13,,21,,17,15,18,16,23,20,21,23,19,16,20,18,19,17,14,21,12,17,18,22,15,13
NorthFor,B,17,246,238,5,6,9,4,9,,12,12,13,17,17,,15,,9,,7,,9,,12,7,7,13,16,9,10,16,14,11,21,24,15,14,15,12,6,16,11,15,21,7
NorthFor,D,18,368,368,4,5,7,6,9,,10,10,10,10,10,,11,,9,,13,,10,,17,13,9,15,13,8,14,14,11,13,14,14,18,16,16,11,13,16,15,16,13,10
NorthFor,D,19,393,403,12,12,8,5,10,,10,8,9,10,8,,10,,4,,13,,12,,16,10,8,10,14,9,10,9,10,11,13,9,9,10,9,11,10,11,7,11,12,7
NorthFor,D,20,352,378,9,8,6,6,13,,8,7,7,10,9,,7,,2,,6,,12,,13,9,6,10,12,9,10,10,8,13,10,9,13,8,11,10,11,10,13,10,9,7
WestFrm,J,21,196,225,9,11,17,14,16,,16,23,23,27,33,,27,,31,,18,,17,,18,17,23,24,16,25,23,12,23,16,19,15,17,21,21,24,18,14,22,22,26,19
WestFrm,J,22,306,349,5,7,11,9,7,,8,16,15,16,16,,22,,20,,6,,13,,15,11,20,17,20,18,19,19,20,16,12,13,20,12,15,16,18,11,16,16,19,13
WestFrm,J,22A,322,353,5,7,11,9,7,,8,16,15,16,16,,22,,13,,11,,22,,22,10,17,18,21,21,16,19,14,16,14,14,12,18,16,12,14,15,14,19,13,15
WestFrm,J,23,390,403,4,6,6,6,8,,12,8,13,10,9,,13,,13,,15,,14,,20,10,15,16,21,17,18,17,14,14,11,14,16,15,11,14,17,14,16,19,14,13
NorthFor,D,24,245,278,7,4,7,4,3,,6,12,10,9,8,,5,,9,,8,,13,,9,9,9,11,12,10,10,15,10,8,11,10,10,16,16,11,10,12,15,15,15,8
NorthFor,D,25,447,437,9,11,10,7,12,,11,10,9,9,10,,11,,11,,9,,8,,13,9,10,11,9,10,12,11,13,10,9,11,11,18,13,14,11,13,13,15,14,12
NorthFor,D,26,357,391,6,6,7,6,13,,10,13,11,14,12,,15,,10,,14,,17,,17,10,8,18,12,14,15,11,14,15,11,16,12,10,13,14,9,10,9,16,13,13
EastFrm,K,27,216,248,5,3,5,2,3,,8,4,3,5,6,,6,,15,,13,,14,,16,10,15,13,20,17,13,17,18,15,11,11,12,18,22,11,16,14,19,16,18,12
NorthFor,C,28,615,656,4,3,3,1,2,,5,4,3,7,6,,3,,1,,3,,4,,5,4,5,8,9,4,7,5,6,7,7,8,8,6,9,6,5,8,7,6,5,6
NorthFor,C,29A,257,239,9,5,5,3,6,,7,5,8,6,5,,5,,3,,6,,5,,8,7,6,8,8,10,8,9,6,9,11,10,10,9,12,6,6,12,11,8,10,7
NorthFor,C,29B,202,233,9,5,5,3,6,,7,5,8,6,5,,3,,3,,5,,2,,9,6,1,3,3,3,4,6,5,5,6,7,9,4,8,6,5,4,6,7,4,4
NorthFor,D,30,315,315,11,10,7,6,13,,10,10,8,5,8,,9,,5,,9,,11,,10,8,1,6,10,8,5,9,13,10,7,9,12,9,12,12,10,7,11,8,6,9
NorthFor,D,31,402,414,12,15,12,9,14,,15,17,17,17,11,,10,,6,,16,,15,,16,11,4,11,10,14,14,13,14,14,12,10,11,17,11,12,12,8,13,12,10,10
NorthFor,D,32,499,487,8,11,10,9,15,,12,12,15,12,14,,13,,13,,15,,13,,16,8,7,10,8,12,11,10,16,14,10,13,13,14,14,13,13,10,13,11,13,13
EastFrm,K,33,258,276,3,4,6,5,2,,8,9,7,11,10,,13,,12,,16,,20,,14,14,22,20,11,15,17,18,15,16,12,17,10,16,15,16,17,15,8,12,13,11
NorthFor,E,34,236,262,8,11,8,7,12,,5,9,6,15,8,,4,,4,,9,,9,,16,7,11,11,10,12,14,11,15,10,10,10,9,9,14,6,7,12,8,7,5,6
NorthFor,E,35,372,409,12,11,15,10,13,,17,16,14,11,12,,14,,9,,18,,21,,22,12,16,19,16,20,23,18,23,19,20,16,13,11,18,16,19,15,15,7,17,11
