Year,BuckGun,DoeGun,TotalGun,GunHunters,BuckBow,DoeBow,TotalBow,BowHunters,BuckCross,DoeCross,TotalCross,CrossHunters,WolfPacks,Wolves,Bears
1966,67362,42700,110062,432111,1357,4629,5986,85114,,,,,,,
1967,71032,57295,128527,470782,1714,5878,7592,101573,,,,,,,
1968,62521,57465,119986,503190,1924,5010,6934,114975,,,,,,,
1969,52655,45353,98008,506526,1576,4411,5987,106669,,,,,,,
1970,50308,22536,72844,501799,1775,4745,6520,101573,,,,,,,
1971,48994,21841,70835,509447,1696,4826,6522,100206,,,,,,,
1972,49416,25411,74827,517724,1956,5131,7087,98720,,,,,,,
1973,57364,24741,82105,514626,2594,5862,8456,105875,,,,,,,
1974,67313,33092,100405,556815,3390,9124,12514,119960,,,,,,,
1975,73373,44005,117378,582113,4439,9149,13588,133775,,,,,,,
1976,69510,52999,122509,589590,4775,8861,13636,133318,,,,,,,
1977,82762,49148,131910,617823,5993,10797,16790,146760,,,,,,,
1978,87397,63448,150845,644594,6472,11641,18113,157838,,,,,,,
1979,76550,49020,125570,617109,6203,9815,16018,144511,,,,,,,
1980,81041,58583,139624,618333,8950,12004,20954,155386,,,,,5,25,
1981,99034,67639,166673,629034,11867,17216,29083,173874,,,,,5,20,
1982,97534,85181,182715,637320,12854,17996,30850,189524,,,,,4,23,
1983,96628,100672,197600,649972,14208,18668,32876,194367,,,,,5,19,
1984,117197,138726,255726,657969,17049,21842,38891,205132,,,,,4,18,
1985,112701,161601,274302,670329,19396,21348,40744,215900,,,,,4,14,
1986,117886,140882,259240,662771,19126,21256,40490,216472,,,,,5,15,
1987,116881,133393,250530,660400,21278,21253,42651,208675,,,,,5,18,
1988,121536,141888,263424,653790,22213,20180,42393,210518,,,,,6,26,9250
1989,139651,170282,310192,661713,25249,20994,46394,210912,,,,,7,31,9750
1990,140726,209005,350040,699275,26263,22860,49291,216981,,,,,10,34,10500
1991,120009,232330,352520,674422,29739,37110,67097,216559,,,,,12,39,11150
1992,111476,177245,288820,666570,29992,30324,60478,220872,,,,,13,45,12100
1993,116507,100977,217584,652491,30661,22274,53008,224008,,,,,12,40,12800
1994,135574,171945,307629,670776,36772,29419,66254,234077,,,,,16,54,14100
1995,171891,225846,398002,684944,39379,29790,69269,244262,,,,,20,83,15450
1996,138622,250011,388791,677072,33625,39224,72941,235780,,,,,31,99,1670
1997,121050,171296,292513,671706,36812,30264,67115,237991,,,,,35,148,17350
1998,151575,180601,332254,668958,42010,33251,75301,241391,,,,,47,178,18350
1999,159296,242908,402204,690194,45562,46641,92203,252322,,,,,57,204,18450
2000,171753,356741,528494,694712,40579,46220,86799,258002,,,,,65,248,18900
2001,141942,219322,361264,688540,40867,42217,83120,260239,,,,,70,257,19000
2002,126470,191418,317888,618945,29322,24831,54133,227124,,,,,83,327,19400
2003,147436,240908,388344,644818,45498,50109,95607,247211,,,,,94,335,20350
2004,133223,280571,413794,649955,33635,69937,103572,252602,,,,,108,373,21000
2005,147622,239688,387310,641771,35935,42515,78450,247309,,,,,113,435,21800
2006,137278,256028,393306,644906,40081,73837,113918,258394,,,,,116,467,23150
2007,133131,269432,402563,641432,38011,77999,116010,258854,,,,,141,546,24150
2008,103845,248756,352601,643266,34662,64622,99284,266435,,,,,150,549,25850
2009,92754,149108,241862,638842,41402,45839,87241,261964,,,,,168,637,27550
2010,106263,146775,253038,622542,42115,41718,83833,254014,,,,,188,704,28450
2011,106396,151115,257511,622860,44443,45757,90200,255426,,,,,202,782,28000
2012,119469,154578,274047,634821,45988,48279,94267,263860,,,,,,815,28250
2013,102221,152782,255003,634655,41517,46111,87628,266380,,,,,,809,27900
2014,97196,125392,222588,609779,30433,24377,54810,214213,15768,11123,26891,113293,,660,28550
2015,99757,122974,222731,613165,31229,21775,53004,209981,20594,13500,34094,131623,,746,28550
2016,105186,123540,228726,599862,28172,20100,48272,229880,23562,16214,39776,149348,,866,28900
