DNR_REGION,DNR_CNTY_C,COUNTY_NAM,COUNTY_FIP,SHAPE_AREA,SHAPE_LEN,Area_km2,Area_mile2,Longitude,Latitude
Southeast Region,30,Kenosha,59,721045434.73800000000,123267.30386300000,721.04543473800,278.39719879600,-88.04276303480,42.57685452310
South Central Region,33,Lafayette,65,1641794820.83000000000,164707.65004000000,1641.79482083000,633.90052429000,-90.13178152080,42.66054835160
South Central Region,54,Rock,105,1879381549.21000000000,174114.58767000000,1879.38154921000,725.63327297100,-89.07155568450,42.67119462310
Southeast Region,65,Walworth,127,1492598261.97000000000,154833.27935700000,1492.59826197000,576.29541085700,-88.54192913910,42.66845745120
South Central Region,23,Green,45,1512854983.48000000000,155741.10437300000,1512.85498348000,584.11657475900,-89.60227032140,42.67989123370
Southeast Region,52,Racine,101,881856997.15600000000,136330.14667100000,881.85699715600,340.48689017200,-88.06117574840,42.74754963520
South Central Region,28,Jefferson,55,1508383942.86000000000,155148.72986400000,1508.38394286000,582.39029632300,-88.77590175480,43.02070975570
Southeast Region,68,Waukesha,133,1503091655.31000000000,154932.86934400000,1503.09165531000,580.34693267800,-88.30451062630,43.01814921960
South Central Region,25,Iowa,49,1987500061.38000000000,190748.53056100000,1987.50006138000,767.37806390300,-90.13536666420,43.00040942960
Southeast Region,41,Milwaukee,79,627912939.73700000000,123807.14203700000,627.91293973700,242.43854144100,-87.96674537780,43.00700759440
South Central Region,22,Grant,43,3056072356.39000000000,247096.29943700000,3056.07235639000,1179.95613362000,-90.70544869080,42.86725301310
South Central Region,13,Dane,25,3204610205.22000000000,231224.52966300000,3204.61020522000,1237.30691768000,-89.41833646370,43.06738925350
West Central Region,12,Crawford,23,1550525534.21000000000,181827.37255900000,1550.52553421000,598.66125571300,-90.93106377050,43.23931198390
South Central Region,53,Richland,103,1524958366.84000000000,167590.53487500000,1524.95836684000,588.78971720300,-90.42952408590,43.37553930440
Southeast Region,67,Washington,131,1128189116.34000000000,138783.02706600000,1128.18911634000,435.59625311900,-88.23077324500,43.36836986970
Southeast Region,46,Ozaukee,89,609374148.80100000000,119252.90351100000,609.37414880100,235.28067424200,-87.95089321460,43.38394306080
South Central Region,14,Dodge,27,2348412248.47000000000,195437.66801600000,2348.41224847000,906.72703840000,-88.70752885250,43.41615830580
South Central Region,57,Sauk,111,2196077683.14000000000,215968.20895800000,2196.07768314000,847.91033389700,-89.94844429280,43.42666065850
South Central Region,11,Columbia,21,2060373639.06000000000,222534.70545500000,2060.37363906000,795.51470954700,-89.33369647940,43.46662052490
West Central Region,63,Vernon,123,2113139377.09000000000,221363.62089300000,2113.13937709000,815.88767490300,-90.83457720530,43.59402584910
Southeast Region,60,Sheboygan,117,1340398330.19000000000,145771.27953200000,1340.39833019000,517.53068865900,-87.94538765210,43.72113073980
Northeast Region,20,Fond du Lac,39,1982400533.97000000000,204269.23705000000,1982.40053397000,765.40912536100,-88.48820342540,43.75362490250
