Deer Management Zone,County,Deer Range,HunterAbun,Year
Northern Forest,ASHLAND,821.69,4378.129712,2014
Northern Forest,BAYFIELD,1409.69,11020.80928,2014
Northern Forest,BURNETT,762.68,9511.109375,2014
Northern Forest,DOUGLAS,1238.2,7548.499504,2014
Northern Forest,FLORENCE,477.22,8605.289435,2014
Northern Forest,FOREST,996.54,9209.169395,2014
Northern Forest,IRON,711.55,3321.339782,2014
Northern Forest,LANGLADE,748.59,8756.259425,2014
Northern Forest,LINCOLN,797.12,11322.74926,2014
Northern Forest,MARINETTE,920.62,15398.93899,2014
Northern Forest,MENOMINEE,,,2014
Northern Forest,OCONTO,336.93,7095.589534,2014
Northern Forest,ONEIDA,1072.2,10718.8693,2014
Northern Forest,PRICE,1199.87,12379.53919,2014
Northern Forest,RUSK,818.11,9058.199405,2014
Northern Forest,SAWYER,1113.47,10265.95933,2014
Northern Forest,TAYLOR,814.2,13436.32912,2014
Northern Forest,VILAS,769.09,9511.109375,2014
Northern Forest,WASHBURN,745.84,8907.229415,2014
Central Forest,ADAMS,430.39,9964.019345,2014
Central Forest,CLARK,474.71,10718.8693,2014
Central Forest,EAU CLAIRE,173.23,2566.489831,2014
Central Forest,JACKSON,452.88,4076.189732,2014
Central Forest,JUNEAU,380.52,5283.949653,2014
Central Forest,MONROE,108.57,1358.729911,2014
Central Forest,WOOD,294.58,4076.189732,2014
Central Farmland,ADAMS,72.07,2264.549851,2014
Central Farmland,BARRON,530.99,7548.499504,2014
Central Farmland,BROWN,113.47,4227.159722,2014
Central Farmland,BUFFALO,559.95,8605.289434,2014
Central Farmland,CALUMET,68.6,2264.549851,2014
Central Farmland,CHIPPEWA,665.88,6642.679564,2014
Central Farmland,CLARK,273.17,3623.279762,2014
Central Farmland,DOOR,272.16,5434.919643,2014
Central Farmland,DUNN,585.77,7548.499504,2014
Central Farmland,EAU CLAIRE,287.72,3774.249752,2014
Central Farmland,FOND DU LAC,214.43,6944.619544,2014
Central Farmland,GREEN LAKE,179.13,4680.069692,2014
Central Farmland,JACKSON,374.28,7850.439484,2014
Central Farmland,JUNEAU,231.29,4378.129712,2014
Central Farmland,KEWAUNEE,97.56,5132.979663,2014
Central Farmland,LA CROSSE,320.14,6491.709573,2014
Central Farmland,MANITOWOC,174.95,5283.949653,2014
Central Farmland,MARATHON,1000.16,17965.42882,2014
Central Farmland,MARINETTE,345.96,4680.069693,2014
Central Farmland,MARQUETTE,342.73,6944.619544,2014
Central Farmland,MONROE,539.21,9662.079365,2014
