Deer Management Zone,County,Deer Range,HunterDens,Year
Northern Forest,ASHLAND,821.69,5.3,2014
Northern Forest,BAYFIELD,1409.69,7.8,2014
Northern Forest,BURNETT,762.68,12.5,2014
Northern Forest,DOUGLAS,1238.2,6.1,2014
Northern Forest,FLORENCE,477.22,18,2014
Northern Forest,FOREST,996.54,9.2,2014
Northern Forest,IRON,711.55,4.7,2014
Northern Forest,LANGLADE,748.59,11.7,2014
Northern Forest,LINCOLN,797.12,14.2,2014
Northern Forest,MARINETTE,920.62,16.7,2014
Northern Forest,MENOMINEE,,,2014
Northern Forest,OCONTO,336.93,21.1,2014
Northern Forest,ONEIDA,1072.2,10,2014
Northern Forest,PRICE,1199.87,10.3,2014
Northern Forest,RUSK,818.11,11.1,2014
Northern Forest,SAWYER,1113.47,9.2,2014
Northern Forest,TAYLOR,814.2,16.5,2014
Northern Forest,VILAS,769.09,12.4,2014
Northern Forest,WASHBURN,745.84,11.9,2014
Central Forest,ADAMS,430.39,23.2,2014
Central Forest,CLARK,474.71,22.6,2014
Central Forest,EAU CLAIRE,173.23,14.8,2014
Central Forest,JACKSON,452.88,9,2014
Central Forest,JUNEAU,380.52,13.9,2014
Central Forest,MONROE,108.57,12.5,2014
Central Forest,WOOD,294.58,13.8,2014
Central Farmland,ADAMS,72.07,31.4,2014
Central Farmland,BARRON,530.99,14.2,2014
Central Farmland,BROWN,113.47,37.3,2014
Central Farmland,BUFFALO,559.95,15.4,2014
Central Farmland,CALUMET,68.6,33,2014
Central Farmland,CHIPPEWA,665.88,10,2014
Central Farmland,CLARK,273.17,13.3,2014
Central Farmland,DOOR,272.16,20,2014
Central Farmland,DUNN,585.77,12.9,2014
Central Farmland,EAU CLAIRE,287.72,13.1,2014
Central Farmland,FOND DU LAC,214.43,32.4,2014
Central Farmland,GREEN LAKE,179.13,26.1,2014
Central Farmland,JACKSON,374.28,21,2014
Central Farmland,JUNEAU,231.29,18.9,2014
Central Farmland,KEWAUNEE,97.56,52.6,2014
Central Farmland,LA CROSSE,320.14,20.3,2014
Central Farmland,MANITOWOC,174.95,30.2,2014
Central Farmland,MARATHON,1000.16,18,2014
Central Farmland,MARINETTE,345.96,13.5,2014
Central Farmland,MARQUETTE,342.73,20.3,2014
Central Farmland,MONROE,539.21,17.9,2014
Central Farmland,OCONTO,413.03,25.2,2014
Central Farmland,OUTAGAMIE,192.9,27.4,2014
Central Farmland,PEPIN,165.04,20.1,2014
Central Farmland,PIERCE,266.77,20.4,2014
Central Farmland,POLK,623.37,17.9,2014
Central Farmland,PORTAGE,502.89,23.4,2014
Central Farmland,SHAWANO,579.7,24,2014
