OBJECTID,FID_NOAA_s,Field1,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,Jdate,Year,Month,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,COUNTY_NAM,FID_WI_Cou,DNR_REGION,DNR_CNTY_C,COUNTY_N_1,COUNTY_FIP,Area_km2,Area_mile2
1,17,174562,GHCND:USC00470696,BELOIT WI US,237.70000000000,42.50222000000,-89.03194000000,7/4/1999,185,1999,7,0,0,0,NA,30.00000000000,23.30000000000,24.40000000000,Rock,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
2,224,2203525,GHCND:USC00473040,GENOA CITY WI US,259.10000000000,42.50000000000,-88.37860000000,3/21/2008,81,2008,3,0,0,0,NA,7.20000000000,-1.10000000000,-1.10000000000,Walworth,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
3,90,908057,GHCND:USC00475148,MARTINTOWN 2 E WI US,239.30000000000,42.51667000000,-89.80000000000,1/1/1982,1,1982,1,4.826,101.6,76.2,NA,0.00000000000,0.00000000000,0.00000000000,NA,4,South Central Region,23,Green,45,1512.85498348000,584.11657475900
4,542,2767838,GHCND:US1WIRK0009,BELOIT 9.5 W WI US,246.60000000000,42.52560000000,-89.20640000000,3/1/2014,60,2014,3,2.3,305,25,NA,0.00000000000,0.00000000000,0.00000000000,NA,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
5,295,2458107,GHCND:US1WIKN0002,PLEASANT PRAIRIE 3.4 ESE WI US,188.40000000000,42.50870000000,-87.81880000000,9/13/2007,256,2007,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
6,397,2646194,GHCND:USC00476420,PELL LAKE WI US,256.00000000000,42.53194000000,-88.33250000000,7/19/2009,200,2009,7,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Walworth,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
7,36,372143,GHCND:USC00471667,CLINTON WI US,292.60000000000,42.54910000000,-88.87520000000,10/21/2010,294,2010,10,0,0,0,NA,20.60000000000,1.70000000000,2.20000000000,Rock,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
8,332,2504765,GHCND:US1WIRK0002,CLINTON 0.4 NNW WI US,296.90000000000,42.56200000000,-88.86940000000,7/23/2007,204,2007,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
9,601,2799697,GHCND:US1WIWW0006,WILLIAMS BAY 0.9 SW WI US,300.80000000000,42.56830000000,-88.55710000000,7/1/2014,182,2014,7,22.6,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
10,294,2455513,GHCND:US1WIKN0001,KENOSHA 2.2 SW WI US,214.00000000000,42.55840000000,-87.88070000000,3/29/2007,88,2007,3,8.9,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
11,486,2732954,GHCND:US1WIKN0011,PLEASANT PRAIRIE 3.8 NW WI US,213.10000000000,42.56010000000,-87.93840000000,7/3/2015,184,2015,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
12,483,2728331,GHCND:US1WIKN0006,KENOSHA 1.7 S WI US,198.70000000000,42.55970000000,-87.85660000000,4/9/2010,99,2010,4,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
13,189,1996131,GHCND:USC00474174,KENOSHA WI US,182.90000000000,42.56111000000,-87.81417000000,4/9/1998,99,1998,4,14,0,0,NA,6.70000000000,1.70000000000,2.20000000000,Kenosha,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
14,487,2733446,GHCND:US1WIKN0012,KENOSHA 1.8 SW WI US,210.60000000000,42.56270000000,-87.87450000000,8/14/2014,226,2014,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
15,488,2733897,GHCND:US1WIKN0013,PADDOCK LAKE 0.3 SSW WI US,252.40000000000,42.56760000000,-88.10400000000,10/19/2015,292,2015,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
16,396,2642209,GHCND:USC00476380,PADDOCK LAKE WI US,241.70000000000,42.58050000000,-88.09020000000,3/1/2007,60,2007,3,13.2,127,13,NA,1.10000000000,-3.90000000000,0.60000000000,Kenosha,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
17,101,1034206,GHCND:USC00475573,MONROE 1 W WI US,302.10000000000,42.60000000000,-89.66667000000,10/4/1987,277,1987,10,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Green,4,South Central Region,23,Green,45,1512.85498348000,584.11657475900
18,367,2558168,GHCND:US1WIWW0002,LAKE GENEVA 0.6 ENE WI US,266.10000000000,42.59170000000,-88.41770000000,9/11/2008,255,2008,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
19,78,779512,GHCND:USC00474457,LAKE GENEVA WI US,257.90000000000,42.59361000000,-88.43472000000,11/25/2002,329,2002,11,0,102,0,NA,1.10000000000,-8.90000000000,-4.40000000000,Walworth,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
20,252,2358089,GHCND:USW00004845,KENOSHA REGIONAL AIRPORT WI US,226.50000000000,42.59500000000,-87.93806000000,1/20/2014,20,2014,1,0.3,NA,NA,NA,1.70000000000,-13.20000000000,0.00000000000,Kenosha,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
21,193,2030362,GHCND:USC00471913,CUBA CITY WI US,289.60000000000,42.61667000000,-90.43333000000,10/14/1997,287,1997,10,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Lafayette,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
22,28,275953,GHCND:USC00471078,BRODHEAD WI US,241.10000000000,42.61667000000,-89.38333000000,5/17/1984,138,1984,5,0,0,0,NA,27.80000000000,9.40000000000,11.10000000000,Green,4,South Central Region,23,Green,45,1512.85498348000,584.11657475900
23,186,1967222,GHCND:USC00470045,AFTON WI US,226.20000000000,42.61667000000,-89.06667000000,10/22/1989,295,1989,10,0,0,0,NA,17.80000000000,-4.40000000000,5.00000000000,Rock,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
24,490,2734127,GHCND:US1WILF0001,WIOTA 3.0 E WI US,304.80000000000,42.63080000000,-89.89500000000,1/1/2014,1,2014,1,NA,241,79,NA,0.00000000000,0.00000000000,0.00000000000,NA,1,South Central Region,33,Lafayette,65,1641.79482083000,633.90052429000
25,606,2800834,GHCND:USC00472051,WALWORTH CO METRO SEWERAGE DIST WI US,280.70000000000,42.63440000000,-88.66280000000,6/15/2013,166,2013,6,15.2,NA,NA,NA,29.40000000000,10.00000000000,16.70000000000,Walworth,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
26,484,2730424,GHCND:US1WIKN0007,KENOSHA 3.4 N WI US,202.40000000000,42.63320000000,-87.85170000000,7/31/2011,212,2011,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
27,31,312190,GHCND:USC00471205,BURLINGTON WI US,228.90000000000,42.65080000000,-88.25440000000,12/16/2006,350,2006,12,0,0,0,NA,4.40000000000,-2.80000000000,0.00000000000,Racine,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
28,296,2458286,GHCND:US1WIKN0003,KENOSHA 4.7 NNE WI US,187.10000000000,42.64640000000,-87.81820000000,6/20/2008,172,2008,6,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
29,485,2732225,GHCND:US1WIKN0008,KENOSHA 4.8 NNE WI US,176.80000000000,42.64710000000,-87.81580000000,7/11/2010,192,2010,7,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,0,Southeast Region,30,Kenosha,59,721.04543473800,278.39719879600
30,72,732041,GHCND:USC00473979,JANESVILLE WI US,232.00000000000,42.66667000000,-89.01667000000,9/6/1985,249,1985,9,0,0,0,NA,32.80000000000,22.20000000000,30.00000000000,Rock,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
31,45,448234,GHCND:USC00472001,DARLINGTON WI US,283.50000000000,42.67800000000,-90.10630000000,5/10/2012,131,2012,5,0,NA,NA,NA,17.20000000000,2.20000000000,8.30000000000,Lafayette,1,South Central Region,33,Lafayette,65,1641.79482083000,633.90052429000
32,213,2148087,GHCND:USC00470287,ARGYLE WI US,244.80000000000,42.70056000000,-89.86722000000,8/15/2008,228,2008,8,3,0,0,NA,26.70000000000,11.10000000000,12.20000000000,Lafayette,1,South Central Region,33,Lafayette,65,1641.79482083000,633.90052429000
33,160,1664122,GHCND:USC00478723,UNION GROVE WI US,222.50000000000,42.69020000000,-88.03360000000,10/12/2009,285,2009,10,0,0,0,NA,6.70000000000,-2.80000000000,3.30000000000,Racine,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
34,476,2726450,GHCND:US1WIGN0005,MONTICELLO 2.2 SE WI US,269.70000000000,42.71990000000,-89.56360000000,4/2/2015,92,2015,4,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,4,South Central Region,23,Green,45,1512.85498348000,584.11657475900
35,537,2762924,GHCND:US1WIRC0003,RACINE 2.3 WSW WI US,218.50000000000,42.71120000000,-87.84570000000,3/23/2010,82,2010,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
36,477,2726718,GHCND:US1WIGT0002,PLATTEVILLE 0.3 NE WI US,302.40000000000,42.73820000000,-90.47270000000,11/7/2015,311,2015,11,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
37,617,2815470,GHCND:USC00477314,ROCHESTER WWTP WI US,238.70000000000,42.72690000000,-88.22580000000,4/11/2015,101,2015,4,1,0,0,NA,12.80000000000,0.60000000000,10.60000000000,Racine,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
38,118,1205762,GHCND:USC00476646,PLATTEVILLE WI US,306.90000000000,42.75000000000,-90.48333000000,11/6/1999,310,1999,11,0,0,0,NA,15.00000000000,-3.30000000000,-1.70000000000,Grant,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
39,541,2767003,GHCND:US1WIRK0007,JANESVILLE 4.9 N WI US,285.00000000000,42.75430000000,-89.03430000000,7/5/2010,186,2010,7,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
40,538,2764926,GHCND:US1WIRC0004,RACINE 3.0 WNW WI US,216.40000000000,42.74080000000,-87.86330000000,5/13/2014,133,2014,5,55.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
41,540,2765237,GHCND:US1WIRK0006,EVANSVILLE 0.4 E WI US,275.50000000000,42.77910000000,-89.29020000000,3/19/2010,78,2010,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
42,253,2364716,GHCND:USW00094818,RACINE BATTEN AIRPORT WI US,205.40000000000,42.76111000000,-87.81361000000,8/3/2005,215,2005,8,0.5,NA,NA,NA,35.00000000000,23.30000000000,0.00000000000,Racine,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
43,539,2765122,GHCND:US1WIRC0005,WATERFORD 0.4 NNW WI US,253.60000000000,42.76820000000,-88.21920000000,6/22/2014,173,2014,6,0.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
