Date,Year,Month,Value,,
185401,1854,1,-1.17,,
185402,1854,2,-0.95,,
185403,1854,3,-0.75,,
185404,1854,4,-0.52,,
185405,1854,5,-0.52,,
185406,1854,6,-0.92,,
185407,1854,7,-1.35,,
185408,1854,8,-1.52,,
185409,1854,9,-0.91,,
185410,1854,10,-1.25,,
185411,1854,11,-0.63,,
185412,1854,12,-0.69,,
185501,1855,1,0.33,,
185502,1855,2,0.44,,
185503,1855,3,0.08,,
185504,1855,4,-1.08,,
185505,1855,5,-2.05,,
185506,1855,6,-1.74,,
185507,1855,7,-1.8,,
185508,1855,8,-1.41,,
185509,1855,9,-0.93,,
185510,1855,10,-0.58,,
185511,1855,11,-0.21,,
185512,1855,12,0.2,,
185601,1856,1,0.07,,
185602,1856,2,0.34,,
185603,1856,3,-0.46,,
185604,1856,4,-0.89,,
185605,1856,5,-0.92,,
185606,1856,6,-0.7,,
185607,1856,7,-0.25,,
185608,1856,8,0.06,,
185609,1856,9,-0.83,,
185610,1856,10,-0.27,,
185611,1856,11,-0.13,,
185612,1856,12,-0.46,,
185701,1857,1,-0.91,,
185702,1857,2,-0.63,,
185703,1857,3,-0.47,,
185704,1857,4,-0.25,,
185705,1857,5,0.24,,
185706,1857,6,0.8,,
185707,1857,7,0.75,,
185708,1857,8,0.51,,
185709,1857,9,-0.06,,
185710,1857,10,-0.24,,
185711,1857,11,-0.27,,
185712,1857,12,-0.89,,
185801,1858,1,-1.46,,
185802,1858,2,-0.63,,
185803,1858,3,-0.82,,
185804,1858,4,-0.21,,
185805,1858,5,-0.03,,
185806,1858,6,0.51,,
185807,1858,7,-0.1,,
185808,1858,8,-0.11,,
185809,1858,9,-0.1,,
185810,1858,10,-0.19,,
185811,1858,11,0.75,,
185812,1858,12,0.57,,
185901,1859,1,0.72,,
185902,1859,2,-0.64,,
185903,1859,3,-0.94,,
185904,1859,4,-1.43,,
185905,1859,5,-1.29,,
185906,1859,6,-1.25,,
185907,1859,7,-0.43,,
185908,1859,8,-1.64,,
185909,1859,9,-1.76,,
185910,1859,10,-1,,
185911,1859,11,-0.04,,
185912,1859,12,-0.85,,
186001,1860,1,-1.13,,
186002,1860,2,-1.07,,
186003,1860,3,-1,,
186004,1860,4,-0.7,,
186005,1860,5,-0.44,,
186006,1860,6,0.56,,
186007,1860,7,0.55,,
186008,1860,8,0.12,,
186009,1860,9,3.07,,
186010,1860,10,0.57,,
186011,1860,11,-0.06,,
186012,1860,12,-0.76,,
186101,1861,1,-0.93,,
186102,1861,2,-1.17,,
186103,1861,3,-1.21,,
186104,1861,4,-1.1,,
186105,1861,5,-0.82,,
186106,1861,6,-0.64,,
186107,1861,7,-0.68,,
186108,1861,8,-0.97,,
186109,1861,9,-1.11,,
186110,1861,10,-1.54,,
186111,1861,11,-0.75,,
186112,1861,12,-0.51,,
186201,1862,1,-0.03,,
186202,1862,2,0.19,,
186203,1862,3,0.31,,
186204,1862,4,0.25,,
186205,1862,5,0.16,,
186206,1862,6,0.27,,
186207,1862,7,0.26,,
186208,1862,8,-0.26,,
186209,1862,9,-0.74,,
186210,1862,10,-0.67,,
186211,1862,11,-0.19,,
186212,1862,12,-0.23,,
186301,1863,1,-0.18,,
186302,1863,2,-0.18,,
186303,1863,3,-0.25,,
186304,1863,4,-0.02,,
186305,1863,5,0.23,,
186306,1863,6,0.12,,
186307,1863,7,-0.2,,
186308,1863,8,-0.24,,
186309,1863,9,0.12,,
186310,1863,10,0.33,,
186311,1863,11,0.33,,
186312,1863,12,0.06,,
186401,1864,1,-0.02,,
186402,1864,2,-0.12,,
186403,1864,3,-0.4,,
186404,1864,4,-0.38,,
186405,1864,5,-0.17,,
186406,1864,6,0.07,,
186407,1864,7,-0.18,,
186408,1864,8,-0.28,,
186409,1864,9,-0.34,,
186410,1864,10,-0.29,,
186411,1864,11,-0.1,,
186412,1864,12,-0.01,,
186501,1865,1,-0.53,,
186502,1865,2,-0.71,,
186503,1865,3,-0.14,,
186504,1865,4,-0.21,,
186505,1865,5,-0.22,,
186506,1865,6,-0.14,,
186507,1865,7,-0.05,,
186508,1865,8,0.02,,
186509,1865,9,-0.33,,
186510,1865,10,-0.35,,
186511,1865,11,-0.4,,
186512,1865,12,-0.64,,
186601,1866,1,-1.66,,
186602,1866,2,-1.64,,
186603,1866,3,-1.75,,
186604,1866,4,-0.01,,
186605,1866,5,-0.54,,
186606,1866,6,-0.37,,
186607,1866,7,-0.24,,
186608,1866,8,-0.27,,
186609,1866,9,-0.32,,
186610,1866,10,-0.19,,
186611,1866,11,0.04,,
186612,1866,12,-0.02,,
186701,1867,1,-0.01,,
186702,1867,2,-0.09,,
186703,1867,3,-0.26,,
186704,1867,4,-0.27,,
186705,1867,5,-0.17,,
186706,1867,6,-0.27,,
186707,1867,7,-0.26,,
186708,1867,8,-0.42,,
186709,1867,9,-0.49,,
186710,1867,10,-0.51,,
186711,1867,11,-0.38,,
186712,1867,12,-0.35,,
186801,1868,1,-0.22,,
186802,1868,2,-0.23,,
186803,1868,3,-0.23,,
186804,1868,4,-0.31,,
186805,1868,5,-0.44,,
186806,1868,6,-0.17,,
186807,1868,7,-0.14,,
186808,1868,8,-0.13,,
186809,1868,9,0,,
186810,1868,10,-0.11,,
186811,1868,11,-0.41,,
186812,1868,12,-0.23,,
186901,1869,1,-0.12,,
186902,1869,2,-0.05,,
186903,1869,3,0.28,,
186904,1869,4,0.84,,
186905,1869,5,2.22,,
186906,1869,6,3.01,,
186907,1869,7,2.4,,
